epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,603.199,0.31406,2.29553,1.06959,0.525,0.68027,0.60195,0.52071,0.55434,2.3867,0.90609,0.000300993,0.000300993,0.000300993
2,1189.14,0.26602,1.54845,1.0107,0.61394,0.60658,0.63275,0.56359,0.46273,1.94765,0.85551,0.000592034,0.000592034,0.000592034
3,1773.72,0.26184,1.33679,1.00045,0.60672,0.71331,0.70376,0.64313,0.46075,1.67107,0.81058,0.000871076,0.000871076,0.000871076
4,2359.01,0.24806,1.25341,0.99419,0.58713,0.73876,0.70617,0.66781,0.36308,1.62439,0.67783,0.000855005,0.000855005,0.000855005
5,2950.08,0.23447,1.14765,0.98742,0.68289,0.68739,0.74101,0.7009,0.35327,1.3119,0.67489,0.000837007,0.000837007,0.000837007
6,3532.65,0.22899,1.09002,0.9845,0.66003,0.67547,0.73506,0.65129,0.44388,1.30769,0.78493,0.000819009,0.000819009,0.000819009
7,4117.01,0.21743,1.03731,0.97734,0.76629,0.70651,0.78519,0.69953,0.44197,1.19449,0.71381,0.000801011,0.000801011,0.000801011
8,4699.21,0.21157,0.98989,0.97289,0.63106,0.68698,0.71582,0.68724,0.34613,1.13763,0.65359,0.000783013,0.000783013,0.000783013
9,5281.22,0.20414,0.95554,0.97032,0.52908,0.65402,0.64743,0.5369,0.59675,1.4339,0.83846,0.000765014,0.000765014,0.000765014
10,5867.27,0.20704,0.92386,0.96911,0.76353,0.76504,0.84323,0.81456,0.27675,0.90357,0.56268,0.000747016,0.000747016,0.000747016
11,6453.79,0.19432,0.89981,0.96649,0.77433,0.7654,0.85918,0.8267,0.31982,0.85862,0.59871,0.000729018,0.000729018,0.000729018
12,7039.01,0.18927,0.87174,0.95993,0.7907,0.72046,0.83464,0.80571,0.32592,0.91893,0.60202,0.00071102,0.00071102,0.00071102
13,7624.31,0.18622,0.87296,0.95969,0.68854,0.75163,0.79033,0.76358,0.33263,0.97619,0.60336,0.000693022,0.000693022,0.000693022
14,8208.05,0.19145,0.84094,0.9626,0.7155,0.74633,0.79392,0.74502,0.32802,0.9751,0.58617,0.000675023,0.000675023,0.000675023
15,8791.87,0.18655,0.83052,0.9642,0.70623,0.81469,0.8381,0.81402,0.34312,0.86946,0.62687,0.000657025,0.000657025,0.000657025
16,9380.03,0.18331,0.82266,0.9588,0.75618,0.79878,0.85786,0.7967,0.42644,0.88594,0.66279,0.000639027,0.000639027,0.000639027
17,9964.84,0.18479,0.79912,0.96706,0.71671,0.77058,0.80733,0.76855,0.33773,0.89757,0.58179,0.000621029,0.000621029,0.000621029
18,10550.6,0.17504,0.79309,0.96029,0.77575,0.79898,0.85162,0.82338,0.3285,0.75883,0.60067,0.000603031,0.000603031,0.000603031
19,11135.4,0.1772,0.76519,0.96277,0.77826,0.83068,0.87037,0.83334,0.35056,0.80317,0.60326,0.000585032,0.000585032,0.000585032
20,11720.1,0.17514,0.76165,0.96055,0.7512,0.79756,0.83818,0.79952,0.33747,0.83469,0.5737,0.000567034,0.000567034,0.000567034
21,12303.1,0.17079,0.76134,0.95762,0.72998,0.70452,0.81157,0.77127,0.35773,0.92823,0.678,0.000549036,0.000549036,0.000549036
22,12891.1,0.17065,0.74094,0.95291,0.77122,0.76716,0.87061,0.81432,0.32142,0.83101,0.55237,0.000531038,0.000531038,0.000531038
23,13477.7,0.16734,0.7337,0.95393,0.81523,0.80452,0.87903,0.85418,0.31934,0.71721,0.57228,0.00051304,0.00051304,0.00051304
24,14061.4,0.17324,0.70812,0.95864,0.83153,0.78788,0.89065,0.86276,0.29742,0.7288,0.54514,0.000495041,0.000495041,0.000495041
25,14645.2,0.16632,0.71252,0.95781,0.7796,0.80835,0.86678,0.84322,0.31314,0.74927,0.58137,0.000477043,0.000477043,0.000477043
26,15228.3,0.16514,0.69615,0.95324,0.79279,0.8068,0.88203,0.86017,0.24965,0.66361,0.49155,0.000459045,0.000459045,0.000459045
27,15812.3,0.16699,0.67063,0.94928,0.82728,0.81968,0.90102,0.87117,0.32236,0.69899,0.57824,0.000441047,0.000441047,0.000441047
28,16397.2,0.16943,0.66177,0.95195,0.82315,0.84526,0.89925,0.87522,0.28215,0.64729,0.50912,0.000423049,0.000423049,0.000423049
29,16983.5,0.16073,0.65545,0.94866,0.80183,0.84978,0.89412,0.87265,0.32385,0.7243,0.58999,0.00040505,0.00040505,0.00040505
30,17575.9,0.15744,0.63907,0.94848,0.8092,0.8639,0.90551,0.87834,0.27771,0.66265,0.51516,0.000387052,0.000387052,0.000387052
31,18159,0.15416,0.63771,0.94928,0.83574,0.83438,0.90517,0.87076,0.32547,0.7264,0.53438,0.000369054,0.000369054,0.000369054
32,18755.4,0.15874,0.6518,0.95056,0.79089,0.86715,0.90444,0.88205,0.31541,0.70921,0.56827,0.000351056,0.000351056,0.000351056
33,19340,0.15569,0.62459,0.94348,0.85291,0.81782,0.90928,0.87629,0.32137,0.72471,0.5771,0.000333058,0.000333058,0.000333058
34,19938.4,0.1539,0.62743,0.94369,0.82023,0.86592,0.90865,0.88046,0.30496,0.66907,0.5584,0.000315059,0.000315059,0.000315059
35,20534.3,0.15489,0.59163,0.95197,0.84763,0.82287,0.90705,0.87932,0.31021,0.69914,0.57651,0.000297061,0.000297061,0.000297061
36,21119.8,0.15228,0.59861,0.94873,0.83112,0.81885,0.90674,0.86449,0.3377,0.7135,0.58458,0.000279063,0.000279063,0.000279063
37,21714.7,0.14889,0.59161,0.94187,0.8337,0.76474,0.89508,0.86396,0.30946,0.69377,0.56461,0.000261065,0.000261065,0.000261065
38,22301.2,0.14946,0.58497,0.94452,0.85532,0.83359,0.90701,0.87373,0.32993,0.67042,0.574,0.000243067,0.000243067,0.000243067
39,22895.2,0.14903,0.56316,0.94562,0.87251,0.81185,0.91494,0.86037,0.34749,0.64221,0.61892,0.000225068,0.000225068,0.000225068
40,23488.8,0.14588,0.55476,0.94641,0.86347,0.82679,0.91072,0.88471,0.28894,0.6507,0.52904,0.00020707,0.00020707,0.00020707
41,24069,0.11664,0.50127,0.98839,0.84191,0.85013,0.90942,0.88469,0.28836,0.63945,0.54984,0.000189072,0.000189072,0.000189072
42,24654.7,0.09533,0.41824,0.9558,0.84807,0.87572,0.91946,0.89032,0.31019,0.62501,0.5722,0.000171074,0.000171074,0.000171074
43,25239.3,0.09116,0.37678,0.95679,0.88145,0.85674,0.92616,0.90366,0.29036,0.58419,0.53442,0.000153076,0.000153076,0.000153076
44,25820.6,0.09026,0.35823,0.95158,0.8467,0.8655,0.91348,0.89164,0.29761,0.6015,0.53928,0.000135077,0.000135077,0.000135077
45,26406.6,0.08777,0.35448,0.9524,0.87883,0.82574,0.91768,0.89619,0.29723,0.65303,0.55085,0.000117079,0.000117079,0.000117079
